Ca,Al,Si,Tg,Al4,Al6,Si4,Si3,Si2,Si1,Si0
44,14,42,0,39.999999999683524,3.164354953469201e-10,1.0547123139150762,32.87652795715849,24.9061239989841,1.2520746209296765,0.0023825145208157994
47,7,46,0,23.333333333333318,1.8090660596895607e-19,0.06166956590716702,23.98976104220156,47.566934639409105,5.0313163724043175,0.019040324046732348
27,18,55,0,38.747720313685726,0.8127192467538445,37.938924349114984,21.96858371531759,0.6173141246229078,0.00040519074328958037,0.0
30,10,60,0,24.927538249206957,0.07246175079304479,28.19149375623145,42.72889143234909,4.058481780941433,0.023729086577941608,1.4631903231541977e-06
19,18,63,0,31.268076288304393,5.095560075331946,41.360357921518826,22.102221831037312,0.2207164080492607,0.0,0.0
13,11,76,0,16.403440829418745,6.045538762417988,48.38062237343119,28.842297837214396,0.33039471649311253,0.0,0.0
16,7,77,0,13.12200407724084,2.2626113073745477,55.6610995152972,28.395141397982222,0.5602990675531397,0.00016343009019068259,0.0
