Cs,P3,P2,P1,P0
0.0,100.0,0.0,0.0,0.0
5.0,95.00138239162689,4.997235216746579,0.0013823916261435497,3.7796891944334647e-13
10.0,89.00792505508241,10.984149889841913,0.007925055068926455,6.744389555998948e-12
12.5,86.01339832528491,13.973203349445656,0.013398325253926093,1.5497109574929203e-11
15.0,82.0232062580546,17.95358748392753,0.02320625798111688,3.674552247699846e-11
20.0,75.04806897259627,24.903862054922328,0.048068972366521905,1.1487760799170873e-10
25.0,67.0905410304414,32.81891793942695,0.09054102982188542,3.097585348047686e-10
30.0,57.17014964265007,42.659700715537,0.1701496409757969,8.371406150743622e-10
40.0,33.55769108971063,65.88461782621798,0.5576910784321492,5.6392378212234864e-09
45.0,19.0995891422985,79.80082173285675,1.0995891073909587,1.745377108831448e-08
50.0,3.125672316693731,93.74865547579722,3.1256720983243422,1.091846984758933e-07
55.0,9.14964312999183e-16,78.0000054374301,21.999989125139805,5.437430102297073e-06
60.0,0.0,50.00003745288088,49.99992509423827,3.7452880861503286e-05
