Ca,P3,P2,P1,P0
44.75138122,20.87411767345834,77.25176465308328,1.8741176734582763,5.332671665994507e-14
61.55324875,1.2119985188312023e-26,40.00000000006239,59.99999999987522,6.241984394880374e-11
57.57318625,1.7717299358937768e-09,63.9999999964735,36.00000000173782,1.69716849995709e-11
55.19713262,8.584286528453095e-05,76.99982831427555,23.000085842853014,6.159740910697928e-12
52.98542548,0.06094905931162839,86.87810188137858,13.060949059307923,1.8682071830914987e-12
46.40943194,15.457774155389245,82.08445168922154,2.4577741553891053,8.466937872254987e-14
45.97514857,17.24193179826378,80.51613640347244,2.2419317982636664,7.232024930677655e-14
45.1754386,19.959089447931195,78.08182110413762,1.9590894479311083,5.748415659107902e-14
43.78864531,23.642741068790503,74.71451786241899,1.6427410687904453,4.271273255823333e-14
42.85714286,26.44156480680286,72.11687038639425,1.4415648068028195,3.4331687971119325e-14
41.98606272,29.26538779665479,69.46922440669039,1.2653877966547638,2.7648864688354192e-14
40.53571429,33.06260542597536,65.87478914804923,1.0626054259753492,2.0730666981940298e-14
44.00895857,22.71621052551532,75.56757894896937,1.7162105255152535,4.5970602874670226e-14
49.41831057,6.3120929148282565,89.3758141703437,4.312092914827832,2.2735839115317005e-13
53.74653099,0.009810495958095104,83.98037900808664,16.009810495952433,2.8409040229792027e-12
