Na,Al,B,Tg,Al4,Al6,B4,B3,B2,B1,B0
25.7,5.0,69.3,0,6.623806532176124,0.10566856876600055,23.038839238671873,64.4077820690321,5.275986136174791,0.5361506203687132,0.011766834810483446
25.2,15.3,59.5,0,19.750461681645252,0.7040837729002108,13.950304550074662,62.454106408529256,2.859905750348149,0.27778669032967973,0.003351146172769401
25.5,20.4,54.1,0,26.294417526512838,1.0881328090576283,9.836323698603712,60.75469409155831,1.8593106001161925,0.16590011011542705,0.001221164035881873
25.5,24.4,50.1,0,31.37108089874583,1.3805969536031728,6.228721923380382,60.065227470268276,0.8916045853571403,0.0625441287382133,0.0002240399070491125
25.0,30.2,44.8,0,38.357591695247585,1.9090749714190876,1.0842738961766876,58.628543468589754,0.020243480749543737,0.0004940596287509432,0.0
20.43,5.38,74.18,0,6.379711098343958,0.3824809579657454,17.91360872283295,72.06475406748531,3.037227066652392,0.21925143821794,0.00296664850175498
20.15,10.48,69.37,0,11.917724895114391,1.206883746087868,14.515228850954614,69.80667356832392,2.372779099253216,0.17910405928470333,0.0016057809813163327
20.0,15.34,64.66,0,16.995002709554264,2.179997290445727,12.51889558394491,65.76349236745367,2.338619167036942,0.20276561374686597,0.0012272678176418563
19.63,20.68,59.69,0,22.05552510069435,3.6754690513524393,10.814658177327424,60.756553152668836,2.4610694016481154,0.2359126028491624,0.0008125134597094729
19.76,25.69,54.55,0,27.761033723053064,4.255416925002762,8.223748645787545,57.53093417099912,2.0368583093269748,0.19167561887136414,0.00033260695924510966
15.01,20.47,64.52,0,18.036965425387503,6.048221067141021,14.390713963322378,57.69706532857177,3.449429214136074,0.3761435696887019,0.0014614317525580723
25.36,20.6,54.04,0,26.4754776181039,1.123664932807164,9.314874663892452,61.27397588713365,1.6684106427342273,0.14262639211570569,0.0009698632128950465
30.11,20.19,49.7,0,28.630521150841382,0.2577318181098571,12.85012589398255,55.51944155739492,2.4980163820645798,0.24032616082647706,0.0038370367803839582
34.95,20.23,44.82,0,31.067337079577992,0.031817416963137876,17.715599427033027,46.172699471698195,4.4614052557448955,0.536415357997765,0.014725990985004609
39.68,20.43,39.89,0,33.867202402248125,0.002160992977328919,19.27723113550905,35.3285822854129,10.085047881192914,1.3852485299591444,0.054526772700630964
44.91,20.38,34.71,0,36.993982785759286,2.7016382651598233e-05,15.09807629331854,22.761621567491783,19.782243426008566,5.062038701851208,0.30201020918786897
30.0,30.0,40.0,0,42.54371819603078,0.31342466111209133,3.2845754691283067,53.75363483095471,0.11708971007069831,0.001310011965722048,2.0957766375609448e-06
40.0,30.0,30.0,0,49.999781664672476,0.0002183353275251731,14.304870169246513,25.172939048619693,9.266906795119358,1.27337227689108,0.047644600130331484
40.0,20.0,40.0,0,33.33167565034907,0.0016576829842576087,18.88454834595932,34.07076662549405,11.898551221210479,1.7401985998283291,0.07260187417446108
20.0,30.0,50.0,0,32.54789535930679,4.952104640693181,5.882621455513659,55.0165884661379,1.4846090120675521,0.11615366277821762,2.7403502695920096e-05
35.0,10.0,55.0,0,15.368202862164768,0.016412522450626833,24.894305025639035,46.85291854196784,11.162340996365351,1.6410876391467544,0.06473241226558707
30.0,5.0,65.0,0,7.108131389249406,0.03472575360773643,26.798839193915075,57.442659931199636,7.581157332334504,1.0043530655118735,0.03013333418175888
