Mg,P3,P2,P1,P0
43.6,23.295476293198657,76.409059417762,0.29545228487984254,1.2004159424994828e-05
44.7,19.35746044106626,80.28509564782792,0.35742738114517797,1.6529960557616954e-05
48.6,5.8003116747381345,93.39944334547233,0.8001782848406334,6.669494876747738e-05
50.2,0.5707369074684427,97.85875115058208,1.5702869764302123,0.00022496551913221626
53.5,0.0,85.02244688699555,14.957450099947584,0.02088430436973477
58.9,0.0,57.22740823062118,42.54752741269632,0.22584564799536322
48.8,5.8003116747381345,93.39944334547233,0.8001782848406334,6.669494876747738e-05
53.4,0.0,85.02244688699555,14.957450099947584,0.02088430436973477
55.2,0.0,77.05476403009652,22.892815813745667,0.05320144747069627
58.9,0.0,57.22740823062118,42.54752741269632,0.22584564799536322
60.3,0.0,48.36603054554341,51.27028278285186,0.3644679629175947
62.2,0.0,35.67405612573484,63.65423162246899,0.6724935431090251
64.0,0.0,23.20035128895678,75.60164129602512,1.1987887063309741
