Na,B4,B3,B2,B1,B0
9.94,10.727796407792864,89.0024174986461,0.26736887452072067,0.002416939434465186,2.7960582912854245e-07
15.33,17.21678539066736,82.01285828840871,0.7575009574896095,0.012852438459825729,2.9249744599402745e-06
19.22,22.54407919387496,76.03404547043505,1.3878411893234721,0.03402282229785098,1.1324068620628313e-05
22.41,26.802256442827513,71.0650447969456,2.0676817919623285,0.0649891395834232,2.7828681104933902e-05
27.52,34.00534724445345,62.16721748127905,3.660321481022662,0.16701010521056744,0.00010368803425147506
29.7,36.996498369683884,58.239295945937116,4.5250810035555435,0.23895341570976456,0.00017126511368234507
31.52,37.324555663079295,54.34529143373217,7.985134386306605,0.3447456000316773,0.0002729168502511048
34.04,36.50288046409008,48.670016118195065,14.157635028572013,0.6689206600906407,0.0005477290522107749
37.61,35.34968411836197,41.452552618753,21.746603879855567,1.449766147305985,0.0013932357235008769
67.0,1.3300214642862032,3.3434763935944265e-09,2.2747141114476612,89.79052883850166,6.604735582420878
