Na,Ca,P,Si,Tg,P3,P2,P1,P0,Si6,Si5,Si4,Si3,Si2,Si1,Si0
24.36,26.93,2.57,46.14,0,0.0,0.00022121054918267238,10.02317967649969,4.898858312705585e-08,0,0,5.793253350332006e-06,12.41602659268694,65.27873493302283,12.147404149244556,0.1344275957548534
24.42,26.93,5.43,43.22,0,0.0,0.004801969709163712,20.076558902227063,7.480932900913052e-08,0,0,0.00021136096206358148,17.46960827837973,55.03475315162175,7.353299629377653,0.060766632913107084
24.36,27.17,12.17,36.3,0,0.0,0.7420992591011466,39.396423106495305,6.184420015938463e-08,0,0,0.13430051734833406,30.47707691599014,27.76759958438288,1.4772239617323608,0.005276593105685426
24.3,26.9,2.6,46.2,0,0.0,0.0002858317617153816,10.116445637560018,4.818799562499061e-08,0,0,8.616721131981266e-06,12.993236717584754,65.02297907975354,11.74054840226122,0.12649566616972213
24.390243899999998,26.82926829,2.43902439,46.34146341,0,0.0,0.0002105653263859956,9.523598911696693,4.678644301944139e-08,0,0,5.747536605744064e-06,12.483965436332118,65.64342187219825,12.21340739030149,0.13539002982193873
24.390243899999998,26.82926829,4.87804878,43.90243902,0,0.0,0.003383835436233416,18.178434276178645,7.020329685173607e-08,0,0,0.00014589108786574223,17.026733133219505,56.82851784254814,7.89516122202432,0.06762372930195895
24.390243899999998,26.82926829,6.341463415,42.43902439,0,0.0,0.01332737815261387,22.99552210465072,7.584258908449147e-08,0,0,0.0008040891025083308,19.976398837102217,51.06554372587338,5.905473260934724,0.0429305283412437
21.95571956,21.40221402,1.045510455,55.59655597,0,0.0,0.0850010145322241,3.539732454369829,5.9493538483875085e-09,0,0,0.28181661484001025,51.45040708213118,42.551267771719154,2.08450879252219,0.007266263935992805
21.07208872,21.93468885,2.156500308,54.83672212,0,0.0,0.29863944541659726,6.993027211918006,9.050291470500976e-09,0,0,0.678898528008783,54.80647199082606,35.76422668268716,1.4545637809763539,0.00417235111678026
21.54420922,20.2988792,2.98879203,55.16811955,0,0.0,0.7533562997038588,9.022611104479507,9.858140389654028e-09,0,0,1.6714881933932362,59.7639981894105,27.93017377853197,0.8564139832029981,0.0019584414198173406
20.59925094,22.09737828,4.244694132,53.05867665,0,0.0,1.108249105952256,12.684854330387035,1.1936564197184209e-08,0,0,1.8034476445206469,57.10393898447296,26.48221507558798,0.8155063267552508,0.0017885203873268965
30.29508197,23.08196721,0.852459016,45.770491799999995,0,0.0,1.3982392969755933e-08,3.591160159806987,4.585517045764619e-08,0,0,7.380801525024243e-14,2.7528903892445253,66.54582596625416,26.4673564923415,0.642766932515232
25.17482517,26.19198983,1.970756516,46.66242848,0,0.0,7.985134593896834e-05,7.788864828088758,4.3508122111992884e-08,0,0,1.3576487836894645e-06,11.009295584318874,67.35924548134807,13.675647600028517,0.1668652537128869
25.22464698,25.54557125,3.1450577660000003,46.08472401,0,0.0,0.0010535741693341334,12.008750289730902,5.5319191855197874e-08,0,0,3.7339545620728194e-05,15.82483268532463,62.43279710025195,9.639097028050836,0.09343192760756738
23.51804124,26.03092784,5.347938144,45.10309278,0,0.0,0.03825484509944535,19.130336327924258,5.1243104935553447e-08,0,0,0.005946495079377756,26.589594816734266,49.6233374338854,4.585317459318738,0.027212570715362094
24.41099476,24.7382199,6.479057592,44.37172775,0,0.0,0.13903974092703023,22.463699933541744,5.206045298032564e-08,0,0,0.028409737151351068,31.859709029914832,42.4682052268924,3.0263043659404296,0.014631913571811329
36.84573003,22.31404959,0.895316804,39.94490358,0,0.0,9.744561264703366e-25,4.290428860589566,1.8057503735854755e-07,0,0,0.0,0.00016145546583247683,21.293344755518987,65.8319682208104,8.584096527040169
32.08053691,22.68456376,2.147651007,43.08724832,0,0.0,8.562367366826676e-10,9.065155661748259,1.4627953759881508e-07,0,0,2.599273949653471e-19,1.2185463175535898,58.44187552619577,30.33029852260278,0.9441238247637421
