K,B4,B3,B2,B1,B0
7.94,8.690692994277176,91.00000000139173,0.30930700293954494,1.3913837544904351e-09,1.7007732235576017e-13
13.04,14.090932790764935,85.00000000796949,0.9090671932980142,7.965477434349086e-09,2.030560657375808e-12
17.95,19.979753031273493,78.00000002891586,2.020246910906927,2.8891364336622332e-08,1.2281876770314796e-11
22.85,26.14480345783658,70.0000000831271,3.855196375962504,8.302025724159443e-08,5.346394896614971e-11
27.91,32.31715335235134,61.00000020853212,6.682846230777764,2.0814525653755585e-07,1.9345682996172616e-10
32.84,33.52172391780396,51.00000052221978,15.478275038395381,5.209418577509291e-07,6.38979017422956e-10
37.96,30.740887183395493,39.00000160516038,30.25910960887863,1.5999704471940152e-06,2.594992704471399e-09
45.22,24.170208627085085,17.00000834047318,58.82977472237363,8.279662721005508e-06,3.040526518578915e-08
