Na,Si4,Si3,Si2,Si1,Si0
20.0,51.21066371732552,47.580695875781394,1.206617852733048,0.002021797887599457,7.562724267708596e-07
25.0,35.58582397206711,61.83525855729297,2.572015075199993,0.006898289452559548,4.105987335315916e-06
28.6,24.328704201154885,71.35884981189169,4.296201264945173,0.01623122981517145,1.3492193122692392e-05
33.3,9.371733551058966,81.31857025266079,9.247747875884556,0.06185928601268715,8.903438301254838e-05
36.4,2.549765200528402,81.0781327580938,16.194843845220518,0.17685323316387527,0.0004049629933763292
40.0,0.08899932112929236,67.54620210813958,31.64387334849689,0.7176496940701691,0.0032755281640179258
42.9,0.0011998609341156998,51.83506655812528,46.34009368416237,1.809813513562773,0.01382638321539995
44.4,5.073217390217547e-05,42.862682956507854,54.30241720108036,2.8069137996199243,0.027935310617894078
50.0,1.219425830994028e-15,12.190037996660566,75.93118324403885,11.567519521940623,0.3112592373599909
55.6,0.0,0.0937369557109285,54.34248149310138,41.03382614666447,4.529955404523254
33.16498208,10.009085003731197,81.03964039739563,8.89354472012627,0.05764935263582723,8.05261110915713e-05
40.30305617,0.0568464676246492,65.70719460591626,33.41903674835601,0.8129568150404608,0.003965363062570043
48.71399223,1.3545322220218422e-11,18.707039350359587,72.76019212483968,8.358497699187698,0.17427082559950682
