Li,P3,P2,P1,P0
10,89.00275313985357,10.994493720292848,0.0027531398535763146,9.002883951567965e-19
18,78.01257531895638,21.97484936208722,0.0125753189563914,9.836111367244678e-18
32,53.07433127800638,46.851337443987234,0.07433127800637995,1.6052367445746695e-16
37,41.13599935634656,58.72800128730688,0.1359993563465491,4.2235736770973574e-16
40,33.19736717411593,66.60526565176816,0.19736717411592059,7.73729416096003e-16
50,1.3893079895031049,97.22138402099387,1.3893079895030516,2.242124348552466e-14
51,0.0,96.10148501361401,3.9492574931927784,1.5368214502013667e-13
15,82.00807033280869,17.983859334382593,0.008070332808704896,4.912084167918129e-18
35,46.1066986132897,53.7866027734206,0.1066986132897001,2.8583616607744025e-16
55,0.0,78.1014850136198,21.949257493181207,5.940400548139567e-12
