Na,Ca,P,Tg,P3,P2,P1,P0
28.3,32.9,35.7,0,0.0,29.00000002635093,70.99999994729806,2.6350966622610054e-08
28.8,29.8,39.1,0,0.0,50.00000001080721,49.9999999783856,1.080719520261849e-08
27.0,29.6,39.8,0,0.0,58.00000000657329,41.99999998685326,6.573373682127291e-09
28.4,30.5,40.0,0,0.0,53.000000008883525,46.99999998223312,8.883431332095434e-09
