Mg,Si4,Si3,Si2,Si1,Si0
50,0.8427401380068004,31.576611819532815,38.95201898325129,23.995166022871786,4.633463036337315
52,0.38959110656107543,25.24070072950156,38.27472600571898,29.170081373813094,6.924900784405302
54,0.15824299558202704,19.281345453391236,36.083796780103626,34.355398097291015,10.121216673632132
56,0.0514083048027741,13.698490503193316,32.19251070710643,39.31387385699615,14.743716627901362
58,0.013167404417653381,9.024433322454966,26.903566805914846,43.06689680313486,20.99193566407771
60,0.0020096841248891284,5.071397896882312,20.00574622458511,44.766275123683336,30.154571070724387
62,0.0001404375106889793,2.2546105862710792,12.406679694807691,42.42224710152866,42.91632217988191
