Na,P3,P2,P1,P0
42.8,25.000947622303503,74.99810475539306,0.0009476223035164342,6.889446959021864e-15
43.8,22.001092702453242,77.99781459509359,0.001092702453250044,8.738727245811846e-15
45.3,17.00139957996262,82.99720084007481,0.001399579962622923,1.3265315235682103e-14
47.2,11.001947952387056,88.99610409522595,0.0019479523870396282,2.3382084300419397e-14
51.1,0.0,97.60104745897546,3.1994762174433373,3.5379314162291516e-08
54.1,0.0,83.60104893957154,17.199473256251213,1.5159753785194038e-06
57.0,0.0,68.60105361387488,32.19946390764453,6.190278723047616e-06
5.0,95.00000157234075,4.999996855318507,1.5723407464881169e-06,2.3941897123261565e-19
7.5,92.00000449624105,7.999991007517917,4.496241041864355e-06,1.3946615759873245e-18
10.0,89.0000090250326,10.999981949934785,9.025032607556182e-06,4.279095994500239e-18
15.0,82.00002647016986,17.99994705966027,2.647016986603305e-05,2.336507414707877e-17
20.0,75.00005493341942,24.99989013316117,5.493341941794801e-05,7.32362801075576e-17
25.0,67.00010373806381,32.999792523872394,0.00010373806380979604,1.9819209462428053e-16
30.0,57.00019575419759,42.99960849160484,0.0001957541975915666,5.388054102625038e-16
35.0,46.00035179761207,53.99929640477588,0.00035179761207966445,1.3699207919873797e-15
40.0,33.00065356458457,66.9986928708309,0.0006535645845874327,3.733139211654031e-15
50.0,0.006371498937752906,99.98725700212471,0.0063714989374034,1.9056724967986055e-13
