Na,P,Si,Tg,P3,P2,P1,P0,Si6,Si5,Si4,Si3,Si2,Si1,Si0
8.205032137,72.0,18.0,0,78.9140513569251,9.974829256878268,8.275085511367357e-06,3.9169574232719394e-18,0,0,11.085958700037514,0.0251506292045089,1.781861068526084e-06,8.020211088508107e-12,7.36958549935346e-18
13.77620708,68.0,17.0,0,70.93653490399882,17.95232385912654,3.0125763508986785e-05,3.02726654123075e-17,0,0,11.063501929099468,0.04760247474040247,6.7072076877977114e-06,6.355314031506426e-11,1.3169184447608066e-16
19.74474232,64.0,16.0,0,61.964993676761424,26.92381998141473,7.523071271708738e-05,1.2718889371273757e-16,0,0,11.035099012710033,0.07599463991776645,1.7458207870630588e-05,2.754391799767753e-10,9.72897172119954e-16
27.78657159,57.6,14.4,0,46.027280635831964,42.86137676628715,0.00023148676974851218,7.501117952440478e-16,0,0,10.973009491691206,0.13804298040151222,5.8637283354289205e-05,1.7350238434976859e-09,1.1672917832710707e-14
34.27604542,52.0,13.0,0,30.115332344920066,58.773000354108184,0.0005561898606108989,3.080264244317925e-15,0,0,10.8853822013471,0.22557056114006957,0.00015834084138827115,7.782459988240093e-09,8.748468509871646e-14
39.35917363,48.0,12.0,0,16.241337780569783,72.64638822334805,0.0011628849710207732,1.0486316641446228e-14,0,0,10.7602111829726,0.35051387935187994,0.00038601900242791234,2.9783673510659397e-08,5.262714183307473e-13
20.58287609,60.2,9.8,0,60.53367562337555,31.939336195543266,0.00010646065106621225,2.1501319569404314e-16,0,0,7.466447238219525,0.060418081574222814,1.6400328700581164e-05,3.076569939223136e-10,1.3009326376980563e-15
18.96754069,49.7,20.3,0,51.196300539935365,31.844512954224825,0.00012217835448102753,2.8262735082200524e-16,0,0,16.803869668925625,0.1551466290805485,4.8028451944661865e-05,1.0272554715847444e-09,4.9516894224833995e-15
24.68204924,39.9,30.1,0,28.10018507094946,44.5109192889438,0.0003606082596054686,1.7157336090623464e-15,0,0,26.900473769556623,0.487763042741587,0.0002982068515001287,1.2697301258448294e-08,1.2294505432161485e-13
30.58377673,32.2,37.8,0,4.746907284301473,58.26527939506105,0.0015119507744550237,2.0892866109293272e-14,0,0,35.25742168464033,1.726062985592766,0.002816381100748005,3.1852101408985e-07,8.169436705961268e-12
36.67803215,50.2,9.8,0,24.327702560270815,66.77857995711335,0.0007955225432099076,5.4665379847067104e-15,0,0,8.67328110887454,0.21945271590123622,0.00018812399165938568,1.1305009607196725e-08,1.5560838448264168e-13
33.35238421,45.7,17.8,0,23.093127874696425,60.60580609365708,0.000699731280184965,4.662030921684388e-15,0,0,15.90789894241596,0.3921402912095037,0.0003270476497542561,1.9090836660388856e-08,2.548354029084692e-13
5.075254097,58.3,21.3,0,77.57932246962149,6.974698222016436,3.963909601853766e-06,1.2083022415200945e-18,0,0,15.420682728229401,0.025291382285427325,1.2339340875517395e-06,3.5859598923690752e-12,1.945217248565203e-18
19.2628542,69.6,10.4,0,67.09134278114796,25.95672023866069,6.53224373285789e-05,9.958416399828432e-17,0,0,6.908731512937695,0.04313117329594413,8.971392405596131e-06,1.279654107383226e-10,4.0796359895199914e-16
19.5373397,62.9,17.1,0,61.11647357620692,26.917040232330947,7.611448521067329e-05,1.3018237559774828e-16,0,0,11.883621769061849,0.08276907743832389,1.9230169905175667e-05,3.068318610411106e-10,1.0960433647238016e-15
19.55528195,58.7,21.3,0,56.759490262147864,27.883537476606215,8.689715076664559e-05,1.6357239757718262e-16,0,0,15.24062623722512,0.11622952516627515,2.9601185335794776e-05,5.184345769196606e-10,2.035852126873111e-15
19.62981003,49.6,30.4,0,46.761936026387694,29.781157584886003,0.00011626526949975522,2.7279822241593123e-16,0,0,23.238248952762493,0.21847245830310716,6.871090166481728e-05,1.4895115470618266e-09,7.258647803930735e-15
19.98918773,40.6,39.4,0,34.7376751103758,32.5921660091159,0.0001754642562678666,5.619542713684246e-16,0,0,32.262672543668984,0.40713868782688967,0.00017217972399261527,5.032186011433593e-09,3.3162436912583815e-14
