Li,Si4,Si3,Si2,Si1,Si0
25.0,40.12656239150881,53.12308991019999,6.383625807570628,0.35722908822327437,0.009492802497233081
28.6,30.908695789734796,58.92805416177989,9.442215471011249,0.6966234136983954,0.024411163775602526
33.3,19.006120402437972,63.834085770269425,15.399783383748874,1.6736943119418155,0.08631613160183899
36.4,12.559281425890255,64.10461124268518,20.30195749741228,2.845125573558556,0.1890242604536386
40.0,6.404782520465146,60.48306746444494,27.309251805557263,5.3131639136898405,0.4897342958427548
