Cs,Si4,Si3,Si2,Si1,Si0
11.3,75.00187514899416,24.996249702623025,0.0018751477715347336,6.113007989619627e-10,4.634838839004782e-21
23.3,39.01684495928791,60.966310101150285,0.01684491983566489,1.9726129990766976e-08,5.412574134343245e-19
31.3,9.075015848635536,90.84996854351783,0.07501536705762167,2.40788967326125e-07,1.755665262651364e-17
37.8,0.0,79.2043088906113,21.371443332813946,0.01760148086032273,2.949542127282634e-10
39.7,0.0,69.22851186257328,31.323037389736186,0.0418044511298755,1.1411717006834371e-09
45.1,0.0,37.43327128976311,62.913518553381195,0.24656384227044129,1.916579342436288e-08
1.82,96.0000319876777,3.999936024645395,3.198767611867996e-05,7.893116597015727e-13,2.3873331211430404e-25
5.11,89.00030810991144,10.999383780212884,0.00030810983997107727,3.5723970508516576e-11,9.002836441051185e-23
12.33,72.00242401631496,27.995151968283576,0.0024240144879984736,9.134750213724579e-10,8.03742594071472e-21
16.77,60.00559519818506,39.988809607027406,0.005595191389948512,3.397562043175776e-09,4.849813788324618e-20
21.95,44.01324850298253,55.97350300742427,0.013248476203838537,1.3389349538547694e-08,3.1765935838556127e-19
26.9,26.030821932042052,73.93835618899753,0.030821825878733524,5.308166930126724e-08,2.124877593502001e-18
30.0,14.055825155616112,85.88834983322414,0.05582486670328418,1.4445642481042565e-07,8.57219373158153e-18
