Na,Ca,Si,Tg,Si4,Si3,Si2,Si1,Si0
23.8,4.8,71.4,0,25.40054719903182,69.22826807981383,5.341844944762033,0.02931707490721571,2.2701485119294397e-05
22.7,9.1,68.2,0,16.557907118389828,73.97064160232505,9.385082413804858,0.08628189185581797,8.697362444346447e-05
21.7,13.0,65.2,0,9.483869808255085,75.24805050071768,15.052573924092394,0.21522141664194147,0.00028435029292225595
20.0,20.0,60.0,0,1.6050549472012996,64.85532733058194,32.47669878206109,1.0604006553268503,0.0025182848288299
