Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,0,49.87,0,41.12,9.01,0,0,0,0,1.737504672,29.92687152,33.53417578,4.288331189,0.043045825,0,1.972541994,28.49752901,1.70E-08,0,0,0,0,0,0,51.25276015,13.29248642,2.30062265,2.684059758,0,0,22.00967752,8.460393495,0,0,0
0,0,0,0,48.04,0,38.16,13.8,0,0,0,0,6.613783533,33.48249971,16.82107672,1.105793184,0.006043938,0,8.407814295,33.56298861,1.05E-08,0,0,0,0,0,0,50.61435523,4.405920519,1.934306569,1.074614761,0,0,32.95675753,9.014045387,0,0,0
0,0,0,0,42,0,58,0,0,0,0,0,1.752466803,53.74919089,42.24883769,2.244884758,0.004619867,0,0,0,0,0,0,0,0,0,0,8.3,50.2,36.5,5,0,0,0,0,0,0,0
0,0,0,0,46,0,54,0,0,0,0,0,0.170173801,35.27562903,58.95753605,5.577345606,0.019315514,0,0,0,0,0,0,0,0,0,0,7.2,34.2,52.5,6.1,0,0,0,0,0,0,0
0,0,0,0,50,0,50,0,0,0,0,0,0.001437851,14.33579165,71.41771377,14.1514461,0.09361063,0,0,0,0,0,0,0,0,0,0,0,19,64.4,16.6,0,0,0,0,0,0,0
0,0,0,0,52,0,48,0,0,0,0,0,1.32E-05,6.123988235,70.9764425,22.67509759,0.224458499,0,0,0,0,0,0,0,0,0,0,0,10,60.4,29.6,0,0,0,0,0,0,0
0,0,0,0,55,0,45,0,0,0,0,0,7.68E-12,0.593409264,55.67442942,42.87091336,0.861247953,0,0,0,0,0,0,0,0,0,0,0,5.8,46,48.2,0,0,0,0,0,0,0
0,0,0,0,58,0,42,0,0,0,0,0,0,0.002766024,27.31421832,69.36326529,3.319750367,0,0,0,0,0,0,0,0,0,0,0,0,19.6,65.3,15.1,0,0,0,0,0,0
0,0,0,0,61,0,39,0,0,0,0,0,0,6.75E-15,2.131924981,82.73615004,15.13192498,0,0,0,0,0,0,0,0,0,0,0,0,14.1,65.8,20.1,0,0,0,0,0,0
0,0,0,25.7,0,0,0,0,69.3,5,0,0,0,0,0,0,0,0,0,0,0,21.11680792,6.598626885,0.130848216,0,0,0,0,0,0,0,0,0,0,0,29.77915459,6.365544119,0.399720196
0,0,0,25.2,0,0,0,0,59.5,15.3,0,0,0,0,0,0,0,0,0,0,0,12.52883819,19.60862619,0.845919266,0,0,0,0,0,0,0,0,0,0,0,14.71471471,19.31931932,1.701701702
0,0,0,25.5,0,0,0,0,54.1,20.4,0,0,0,0,0,0,0,0,0,0,0,8.794361308,26.10069517,1.281855168,0,0,0,0,0,0,0,0,0,0,0,5.87234894,26.21048419,2.591036415
0,0,0,25.5,0,0,0,0,50.1,24.4,0,0,0,0,0,0,0,0,0,0,0,5.75224239,31.16206921,1.589608644,0,0,0,0,0,0,0,0,0,0,0,3.488372093,30.17241379,3.287890938
0,0,0,25,0,0,0,0,44.8,30.2,0,0,0,0,0,0,0,0,0,0,0,1.6308249,38.14198589,2.124680778,0,0,0,0,0,0,0,0,0,0,0,0.901171523,35.1456894,5.777510764
0,0,0,20.43,0,0,0,0,74.18,5.38,0,0,0,0,0,0,0,0,0,0,0,16.73319598,6.330487143,0.431704913,0,0,0,0,0,0,0,0,0,0,0,22.56354952,6.620186023,0.142006033
0,0,0,20.15,0,0,0,0,69.37,10.48,0,0,0,0,0,0,0,0,0,0,0,13.57241433,11.77649892,1.348109723,0,0,0,0,0,0,0,0,0,0,0,16.0719474,12.49462743,0.629981215
0,0,0,20,0,0,0,0,64.66,15.34,0,0,0,0,0,0,0,0,0,0,0,11.62106309,16.75529049,2.419709506,0,0,0,0,0,0,0,0,0,0,0,10.9922,17.276675,1.898325
0,0,0,19.63,0,0,0,0,59.69,20.68,0,0,0,0,0,0,0,0,0,0,0,9.984776465,21.72468883,4.006305318,0,0,0,0,0,0,0,0,0,0,0,7.426900585,20.91929825,4.811695906
0,0,0,19.76,0,0,0,0,54.55,25.69,0,0,0,0,0,0,0,0,0,0,0,7.538460232,27.40449822,4.611952428,0,0,0,0,0,0,0,0,0,0,0,5.438683948,23.53209123,8.484359422
0,0,0,15.01,0,0,0,0,64.52,20.47,0,0,0,0,0,0,0,0,0,0,0,13.5360197,17.70112955,6.384056945,0,0,0,0,0,0,0,0,0,0,0,7.13599247,13.60813037,10.47705612
