Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,89.00000903,10.99998195,9.03E-06,4.28E-18,0,0,0,0,0,0,0,0,0,0,89,11,0,0,0,0,0
15,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,82.00002647,17.99994706,2.65E-05,2.34E-17,0,0,0,0,0,0,0,0,0,0,81,19,0,0,0,0,0
20,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,75.00005493,24.99989013,5.49E-05,7.32E-17,0,0,0,0,0,0,0,0,0,0,77,23,0,0,0,0,0
25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,67.00010374,32.99979252,0.000103738,1.98E-16,0,0,0,0,0,0,0,0,0,0,68,32,0,0,0,0,0
30,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,57.00019575,42.99960849,0.000195754,5.39E-16,0,0,0,0,0,0,0,0,0,0,58,42,0,0,0,0,0
35,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,46.0003518,53.9992964,0.000351798,1.37E-15,0,0,0,0,0,0,0,0,0,0,43,57,0,0,0,0,0
40,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,33.00065356,66.99869287,0.000653565,3.73E-15,0,0,0,0,0,0,0,0,0,0,38,62,0,0,0,0,0
50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0.006371499,99.987257,0.006371499,1.91E-13,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,89.00275314,10.99449372,0.00275314,9.00E-19,0,0,0,0,0,0,0,0,0,0,89,11,0,0,0,0,0
0,18,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,78.01257532,21.97484936,0.012575319,9.84E-18,0,0,0,0,0,0,0,0,0,0,78,22,0,0,0,0,0
0,32,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,53.07433128,46.85133744,0.074331278,1.61E-16,0,0,0,0,0,0,0,0,0,0,52,48,0,0,0,0,0
0,37,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,41.13599936,58.72800129,0.135999356,4.22E-16,0,0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0
