Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
20.95,0,0,0,0,0,79.05,0,0,0,0,0,49.49,48.04,2.44,0.02,0,0,0,0,0,0,0,0
21.26,0,0,0,0,0,78.74,0,0,0,0,0,48.59,48.85,2.54,0.02,0,0,0,0,0,0,0,0
21.57,0,0,0,0,0,78.43,0,0,0,0,0,47.69,49.65,2.64,0.02,0,0,0,0,0,0,0,0
21.88,0,0,0,0,0,78.13,0,0,0,0,0,46.79,50.44,2.74,0.03,0,0,0,0,0,0,0,0
22.18,0,0,0,0,0,77.82,0,0,0,0,0,45.9,51.23,2.84,0.03,0,0,0,0,0,0,0,0
22.48,0,0,0,0,0,77.52,0,0,0,0,0,45.01,52.01,2.95,0.03,0,0,0,0,0,0,0,0
22.78,0,0,0,0,0,77.22,0,0,0,0,0,44.12,52.79,3.06,0.03,0,0,0,0,0,0,0,0
23.08,0,0,0,0,0,76.92,0,0,0,0,0,43.24,53.55,3.17,0.03,0,0,0,0,0,0,0,0
23.37,0,0,0,0,0,76.63,0,0,0,0,0,42.36,54.32,3.29,0.03,0,0,0,0,0,0,0,0
23.66,0,0,0,0,0,76.34,0,0,0,0,0,41.48,55.08,3.41,0.04,0,0,0,0,0,0,0,0
23.95,0,0,0,0,0,76.05,0,0,0,0,0,40.61,55.83,3.53,0.04,0,0,0,0,0,0,0,0
24.24,0,0,0,0,0,75.76,0,0,0,0,0,39.74,56.57,3.66,0.04,0,0,0,0,0,0,0,0
24.53,0,0,0,0,0,75.47,0,0,0,0,0,38.87,57.3,3.78,0.04,0,0,0,0,0,0,0,0
24.81,0,0,0,0,0,75.19,0,0,0,0,0,38.01,58.03,3.92,0.04,0,0,0,0,0,0,0,0
25.09,0,0,0,0,0,74.91,0,0,0,0,0,37.15,58.75,4.05,0.05,0,0,0,0,0,0,0,0
25.37,0,0,0,0,0,74.63,0,0,0,0,0,36.29,59.47,4.19,0.05,0,0,0,0,0,0,0,0
25.65,0,0,0,0,0,74.35,0,0,0,0,0,35.44,60.17,4.34,0.05,0,0,0,0,0,0,0,0
25.93,0,0,0,0,0,74.07,0,0,0,0,0,34.59,60.87,4.49,0.05,0,0,0,0,0,0,0,0
26.2,0,0,0,0,0,73.8,0,0,0,0,0,33.75,61.55,4.64,0.06,0,0,0,0,0,0,0,0
26.47,0,0,0,0,0,73.53,0,0,0,0,0,32.91,62.23,4.79,0.06,0,0,0,0,0,0,0,0
26.74,0,0,0,0,0,73.26,0,0,0,0,0,32.08,62.9,4.95,0.06,0,0,0,0,0,0,0,0
27.01,0,0,0,0,0,72.99,0,0,0,0,0,31.25,63.56,5.12,0.07,0,0,0,0,0,0,0,0
27.27,0,0,0,0,0,72.73,0,0,0,0,0,30.43,64.21,5.29,0.07,0,0,0,0,0,0,0,0
27.54,0,0,0,0,0,72.46,0,0,0,0,0,29.61,64.85,5.47,0.07,0,0,0,0,0,0,0,0
