Na,Li,K,Ca,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
19.55528195,0,0,0,21.3,58.7,0,0,0,0,15.24062624,0.116229525,2.96E-05,5.18E-10,2.04E-15,56.75949026,27.88353748,8.69E-05,1.64E-16,0,0,0,11.11189266,0,4.244992702,0,0,0,0,56.6010446,28.04207004,0,0,0,0,0
19.62981003,0,0,0,30.4,49.6,0,0,0,0,23.23824895,0.218472458,6.87E-05,1.49E-09,7.26E-15,46.76193603,29.78115758,0.000116265,2.73E-16,0,0,0,9.228901032,0,14.22788909,0,0,0,0,46.38982417,30.15338571,0,0,0,0,0
24.42,0,0,26.93,43.22,5.43,0,0,0,0,0.015382005,19.57909494,50.05756283,10.10049012,0.166109156,0,0.822849537,19.25851135,5.50E-08,0,0,0,0,0,3.516420118,27.25225592,37.96135355,10.78901627,0.399593195,0,0,7.711242604,12.37011834,0,0,0
24.3902439,0,0,26.82926829,43.90243902,4.87804878,0,0,0,0,0.012975824,19.35592259,51.55383588,10.71454838,0.180899141,0,0.694472473,17.48734566,5.14E-08,0,0,0,0,0,0,9,72.81818182,0,0,0,0.545454545,1.272727273,16.36363636,0,0,0
24.3902439,0,0,26.82926829,42.43902439,6.341463415,0,0,0,0,0.029462171,21.4287777,46.95243951,8.454668524,0.125802545,0,1.218571632,21.79027787,5.63E-08,0,0,0,0,0,0,25.40707965,40.80530973,10.77876106,0,0,0,4.601769912,18.40707965,0,0,0
21.54420922,0,0,20.2988792,55.16811955,2.98879203,0,0,0,0,3.070380642,55.74719686,29.68792894,1.709326236,0.00919991,0,2.839767922,6.936199485,7.17E-09,0,0,0,0,0,9.022403259,40.60081466,38.79633401,1.804480652,0,0,0,1.564154786,8.211812627,0,0,0
25.17482517,0,0,26.19198983,46.66242848,1.970756516,0,0,0,0,0.001370049,14.57600911,60.29731186,16.96182052,0.374543733,0,0.132158805,7.656785887,3.08E-08,0,0,0,0,0,0.922110553,14.75376884,71.00251256,5.532663317,0,0,0,0.311557789,7.477386935,0,0,0
23.51804124,0,0,26.03092784,45.10309278,5.347938144,0,0,0,0,0.091883859,27.37275372,46.3851359,6.895080775,0.086554528,0,1.511668436,17.65692275,3.80E-08,0,0,0,0,0,2.424942263,41.22401848,33.94919169,3.233256351,0,0,0,1.533487298,17.63510393,0,0,0
32.08053691,0,0,22.68456376,43.08724832,2.147651007,0,0,0,0,2.16E-08,3.506599636,54.26601607,31.80847576,1.353752704,0,0.009381583,9.055774135,9.13E-08,0,0,0,0,0,0,1.818696884,52.74220963,33.64589235,2.728045326,0,0,1.178470255,7.886685552,0,0,0
24.3,0,0,26.9,46.2,2.6,0,0,0,0,0.003467761,16.31991944,58.30865363,14.94826998,0.302957678,0,0.227330405,9.889401078,3.48E-08,0,0,0,0,0,0,29.9311284,48.98638132,10.96575875,0,0,0,2.701167315,7.415564202,0,0,0
24.3694956,0,0,26.92153723,46.13690953,2.572057646,0,0,0,0,0.002863823,15.78978627,58.48838651,15.36946997,0.318267828,0,0.210491741,9.820733828,3.54E-08,0,0,0,0,0,1.799375488,21.59250585,47.68345043,17.99375488,0.899687744,0,0.200624512,3.31030445,6.520296643,0,0,0
22.9,0,0,25.5,48.6,3,0,0,0,0,0.097882063,29.85525312,51.25350232,7.70660763,0.097743878,0,0.851078161,10.13793281,2.19E-08,0,0,0,0,0,0,18.69230769,64.44395604,5.874725275,0,0,0,0.450549451,10.53846154,0,0,0
19.1,0,0,25.8,52.7,2.4,0,0,0,0,1.005396406,44.63860368,41.94318969,4.031275006,0.033709125,0,1.449296769,6.89852931,8.22E-09,0,0,0,0,0,1.833043478,51.60017391,37.11913043,1.099826087,0,0,0,0.868173913,7.479652174,0,0,0
20.1,0,0,27.4,46,6.5,0,0,0,0,0.785783642,37.36549628,36.21563993,3.568701105,0.030480737,0,3.692599041,18.34129924,2.22E-08,0,0,0,0,0,1.247457627,42.95932203,32.97966102,0.779661017,0,0,0,2.159322034,19.87457627,0,0,0
16.1,0,0,22.6,58.3,3,0,0,0,0,8.822594161,59.46121602,21.44951309,0.931683349,0.003733658,0,3.832746326,5.498513391,2.91E-09,0,0,0,0,0,6.981493002,70.63094868,13.0562986,0,0,0,0,1.735614308,7.595645412,0,0,0
