Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,4.7619047619999995,0.0,0.0,0.0,0.0,0.0,0.0,95.23809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00985056800000006,0.0,0.0
0.0,28.57142857,0.0,0.0,0.0,0.0,0.0,0.0,71.42857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0024010500000031,0.0,0.0
0.0,61.53846154,0.0,0.0,0.0,0.0,0.0,0.0,38.46153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3012926799999995,0.0,0.0
0.0,32.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0743312800000027,-1.1486625599999982,0.074331278,1.61e-16,0.0,0.0,0.0
0.0,51.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8985149899999954,1.9492574930000002,1.5399999999999997e-13,0.0,0.0,0.0
0.0,28.6,0.0,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,-0.09130421000000055,-0.07194583999999793,-0.5577845289999992,0.696623414,0.024411164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,50.2,0.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.029263093,7.6587511500000005,-4.629713024,0.00022496599999999997,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,55.2,0.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.054764030000001,-11.107184190000002,0.053201447,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.8427401379999999,-1.42338818,5.952018979999998,0.9951660199999992,-6.366536964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,0.0,0.0,0.000140438,-3.745389414,-3.5933203099999993,8.4222471,-1.0836778199999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.37,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.556718550000003,-0.5769025299999981,0.5769025309999999
34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006206660000002,0.5279673600000017,-0.5279673640000001
9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.982203590000001,0.0,0.0
31.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.055444340000001,0.0,0.0
28.3,0.0,0.0,0.0,32.9,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999700000011,0.999999950000003,2.64e-08,0.0,0.0,0.0
