Na,Li,K,Ca,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,52.25,43.29,4.46,0,0,0,0,0.101980277,15.41397249,51.97328714,15.11520363,0.310706822,0,0.118684247,16.96616538,2.09E-08,0,0,0,0,0,0,57.46521883,19.54593316,2.172196523,3.731801846,0,0,4.617111866,12.46773778,0,0,0
0,0,0,48.04,38.16,13.8,0,0,0,0,6.613783533,33.48249971,16.82107672,1.105793184,0.006043938,0,8.407814295,33.56298861,1.05E-08,0,0,0,0,0,0,55.10153454,2.927662544,0,0,0,0,13.99364078,27.97716214,0,0,0
0,0,0,49.87,41.12,9.01,0,0,0,0,1.737504672,29.92687152,33.53417578,4.288331189,0.043045825,0,1.972541994,28.49752901,1.70E-08,0,0,0,0,0,0,51.25276015,13.29248642,2.30062265,2.684059758,0,0,22.00967752,8.460393495,0,0,0
8.205032137,0,0,0,18,72,0,0,0,0,11.0859587,0.025150629,1.78E-06,8.02E-12,7.37E-18,78.91405136,9.974829257,8.28E-06,3.92E-18,0,0,0,11.11111111,0,0,0,0,0,0,78.95729614,9.931592752,0,0,0,0,0
19.74474232,0,0,0,16,64,0,0,0,0,11.03509901,0.07599464,1.75E-05,2.75E-10,9.73E-16,61.96499368,26.92381998,7.52E-05,1.27E-16,0,0,0,11.11111111,0,0,0,0,0,0,61.55285732,27.33603157,0,0,0,0,0
27.78657159,0,0,0,14.4,57.6,0,0,0,0,10.97300949,0.13804298,5.86E-05,1.74E-09,1.17E-14,46.02728064,42.86137677,0.000231487,7.50E-16,0,0,0,10.56635831,0.544752802,0,0,0,0,0,46.13511149,42.7537774,0,0,0,0,0
39.35917363,0,0,0,12,48,0,0,0,0,10.76021118,0.350513879,0.000386019,2.98E-08,5.26E-13,16.24133778,72.64638822,0.001162885,1.05E-14,0,0,0,1.40068165,9.710429461,0,0,0,0,0,16.77177281,72.11711608,0,0,0,0,0
20.58287609,0,0,0,9.8,60.2,0,0,0,0,7.466447238,0.060418082,1.64E-05,3.08E-10,1.30E-15,60.53367562,31.9393362,0.000106461,2.15E-16,0,0,0,7.52688172,0,0,0,0,0,0,64.60491588,27.8682024,0,0,0,0,0
18.96754069,0,0,0,20.3,49.7,0,0,0,0,16.80386967,0.155146629,4.80E-05,1.03E-09,4.95E-15,51.19630054,31.84451295,0.000122178,2.83E-16,0,0,0,8.529825949,0,8.429238379,0,0,0,0,55.66393354,27.37700214,0,0,0,0,0
24.68204924,0,0,0,30.1,39.9,0,0,0,0,26.90047377,0.487763043,0.000298207,1.27E-08,1.23E-13,28.10018507,44.51091929,0.000360608,1.72E-15,0,0,0,5.325826039,0,22.06270899,0,0,0,0,30.86563861,41.74582636,0,0,0,0,0
33.35238421,0,0,0,17.8,45.7,0,0,0,0,15.90789894,0.392140291,0.000327048,1.91E-08,2.55E-13,23.09312787,60.60580609,0.000699731,4.66E-15,0,0,0,2.885164835,0,13.41520147,0,0,0,0,25.49958476,58.20004894,0,0,0,0,0
19.5373397,0,0,0,17.1,62.9,0,0,0,0,11.88362177,0.082769077,1.92E-05,3.07E-10,1.10E-15,61.11647358,26.91704023,7.61E-05,1.30E-16,0,0,0,11.25553423,0,0.710875846,0,0,0,0,60.84674598,27.18684395,0,0,0,0,0
19.55528195,0,0,0,21.3,58.7,0,0,0,0,15.24062624,0.116229525,2.96E-05,5.18E-10,2.04E-15,56.75949026,27.88353748,8.69E-05,1.64E-16,0,0,0,11.11189266,0,4.244992702,0,0,0,0,56.6010446,28.04207004,0,0,0,0,0
