Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,0.0,0.0,0.0,46.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.170173801,28.075629029999998,24.75753605,-46.922654394,-6.080684486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,52.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1.32e-05,6.123988235,60.976442500000005,-37.72490241,-29.375541501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,55.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,7.68e-12,0.5934092639999999,49.874429420000006,-3.129086639999997,-47.338752047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,58.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002766024,27.31421832,49.76326529,-61.980249633,-15.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,61.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75e-15,2.131924981,68.63615004,-50.668075019999996,-20.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,59.5,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1858765200000008,0.2893068699999972,-0.8557824359999999
0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,54.1,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.922012367999999,-0.10978901999999735,-1.3091812470000002
0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,50.1,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263870297,0.9896554199999983,-1.6982822940000002
0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,44.8,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729653377,2.996296490000006,-3.6528299859999995
0.0,0.0,0.0,20.43,0.0,0.0,0.0,0.0,74.18,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.830353539999997,-0.28969888000000044,0.28969888
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,64.66,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6288630899999994,-0.5213845100000007,0.5213845059999997
0.0,0.0,0.0,19.63,0.0,0.0,0.0,0.0,59.69,20.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557875879999999,0.805390580000001,-0.8053905880000007
0.0,0.0,0.0,19.76,0.0,0.0,0.0,0.0,54.55,25.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0997762840000007,3.8724069900000018,-3.8724069940000003
0.0,0.0,0.0,25.36,0.0,0.0,0.0,0.0,54.04,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1182001390000007,-0.35019312000000014,0.35019312599999985
0.0,0.0,0.0,30.11,0.0,0.0,0.0,0.0,49.7,20.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4330591800000008,0.2470412599999996,-0.24704126099999996
0.0,0.0,0.0,34.95,0.0,0.0,0.0,0.0,44.82,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010877789999998555,0.5128641400000014,-0.5128641490000001
0.0,0.0,0.0,39.68,0.0,0.0,0.0,0.0,39.89,20.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.645134120000002,0.6394494500000008,-0.639449447
