Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,0,0,50.2,0,49.8,0,0,0,0,0,0,0,0,0,0.570736907,97.85875115,1.570286976,0.000224966,0,0,0,0,0,0,0,0,0,0,3.6,90.2,6.2,0,0,0,0
0,0,0,0,0,55.2,0,44.8,0,0,0,0,0,0,0,0,0,0,77.05476403,22.89281581,0.053201447,0,0,0,0,0,0,0,0,0,0,0,66,34,0,0,0,0
0,0,0,0,0,50,50,0,0,0,0,0,0.842740138,31.57661182,38.95201898,23.99516602,4.633463036,0,0,0,0,0,0,0,0,0,0,33,33,23,11,0,0,0,0,0,0,0
0,0,0,0,0,62,38,0,0,0,0,0,0.000140438,2.254610586,12.40667969,42.4222471,42.91632218,0,0,0,0,0,0,0,0,0,0,6,16,34,44,0,0,0,0,0,0,0
20.15,0,0,0,0,0,0,0,69.37,10.48,0,0,0,0,0,0,0,0,0,0,0,14.51522885,11.9177249,1.206883746,0,0,0,0,0,0,0,0,0,0,0,16.0719474,12.49462743,0.629981215
34.95,0,0,0,0,0,0,0,44.82,20.23,0,0,0,0,0,0,0,0,0,0,0,17.71559943,31.06733708,0.031817417,0,0,0,0,0,0,0,0,0,0,0,15.70939277,30.53936972,0.559784781
9.94,0,0,0,0,0,0,0,90.06,0,0,0,0,0,0,0,0,0,0,0,0,10.72779641,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,0,0
31.52,0,0,0,0,0,0,0,68.48,0,0,0,0,0,0,0,0,0,0,0,0,37.32455566,0,0,0,0,0,0,0,0,0,0,0,0,0,41.38,0,0
28.3,0,0,0,32.9,0,0,35.7,0,0,0,0,0,0,0,0,0,0,29.00000003,70.99999995,2.64E-08,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0
24.36,0,0,0,27.17,0,36.3,12.17,0,0,0,0,0.32291857,26.87190729,29.50951652,3.128197832,0.028937358,0,5.668328172,34.4701942,5.38E-08,0,0,0,0,0.359168865,6.524901055,32.86395119,19.33525726,0.778199208,0,0,1.244294195,22.91909631,15.97513193,0,0,0
21.07208872,0,0,0,21.93468885,0,54.83672212,2.156500308,0,0,0,0,1.834484701,52.26478846,35.99123236,2.600722713,0.017105101,0,1.701175063,5.590491597,6.47E-09,0,0,0,0,0,0.927083333,50.98958333,38.9375,1.854166667,0,0,0,0.802083333,6.489583333,0,0,0
24.41099476,0,0,0,24.7382199,0,44.37172775,6.479057592,0,0,0,0,0.197306136,31.15678777,41.02988794,4.961122791,0.052155639,0,2.514034067,20.08870562,3.87E-08,0,0,0,0,0,1.547945205,52.63013699,21.67123288,1.547945205,0,0,0,1.130136986,21.47260274,0,0,0
22.9,0,0,0,25.5,0,48.6,3,0,0,0,0,0.097882063,29.85525312,51.25350232,7.70660763,0.097743878,0,0.851078161,10.13793281,2.19E-08,0,0,0,0,0,0,18.69230769,64.44395604,5.874725275,0,0,0,0.450549451,10.53846154,0,0,0
19.3,0,0,0,25.4,0,50.9,4.4,0,0,0,0,1.681900695,46.18197363,34.61528745,2.760959896,0.019509817,0,3.25420452,11.48616398,1.17E-08,0,0,0,0,0,1.70519263,50.98525963,31.71658291,0.852596315,0,0,0,1.017085427,13.72328308,0,0,0
16.2,0,0,0,22.6,0,57.2,4,0,0,0,0,9.371791652,57.84488338,19.69719671,0.813082654,0.003106958,0,5.230829894,7.039108752,3.57E-09,0,0,0,0,0,7.983435583,69.39447853,10.35214724,0,0,0,0,2.392638037,9.877300613,0,0,0
47.2,0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,0,0,11.00194795,88.9961041,0.001947952,2.34E-14,0,0,0,0,0,0,0,0,0,0,7,93,0,0,0,0,0
10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,89.00000903,10.99998195,9.03E-06,4.28E-18,0,0,0,0,0,0,0,0,0,0,89,11,0,0,0,0,0
50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0.006371499,99.987257,0.006371499,1.91E-13,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
8.205032137,0,0,0,0,0,18,72,0,0,0,0,11.0859587,0.025150629,1.78E-06,8.02E-12,7.37E-18,78.91405136,9.974829257,8.28E-06,3.92E-18,0,0,0,11.11111111,0,0,0,0,0,0,78.95729614,9.931592752,0,0,0,0,0
20.58287609,0,0,0,0,0,9.8,60.2,0,0,0,0,7.466447238,0.060418082,1.64E-05,3.08E-10,1.30E-15,60.53367562,31.9393362,0.000106461,2.15E-16,0,0,0,7.52688172,0,0,0,0,0,0,64.60491588,27.8682024,0,0,0,0,0
5.075254097,0,0,0,0,0,21.3,58.3,0,0,0,0,15.42068273,0.025291382,1.23E-06,3.59E-12,1.95E-18,77.57932247,6.974698222,3.96E-06,1.21E-18,0,0,0,12.75837563,0.46337926,2.22422045,0,0,0,0,78.38158086,6.1724438,0,0,0,0,0
